Date,State / Area,Absentee for GE,Primary Deadline,State Code,General Deadline,Online Y/N,Registration VIA Vote.org,Registration Website,Senate Seats,House Seats,Online Resource,Election Type,Notes,Change from 2019
2020-03-03,Alabama,https://www.vote.org/absentee-ballot/alabama/,,AL,2020-10-19,Yes,https://www.vote.org/register-to-vote/alabama/,https://www.alabamavotes.gov/olvr/default.aspx,,,,State Primary,,Yes; originally scheduled for March 31.
2020-08-18,Alaska,https://www.vote.org/absentee-ballot/alaska/,,AK,2020-10-04,Yes,https://www.vote.org/register-to-vote/alaska/,https://voterregistration.alaska.gov/,,,,State Primary,,No
2020-08-04,Arizona,https://www.vote.org/absentee-ballot/arizona/,2020-07-06,AZ,2020-10-05,Yes,https://www.vote.org/register-to-vote/arizona/,https://servicearizona.com/VoterRegistration/,,,,State Primary,,No
2020-03-03,Arkansas,https://www.vote.org/absentee-ballot/arkansas/,,AR,2020-10-06,No,,https://www.sos.arkansas.gov/elections/voter-information/voter-registration-information,,,,State Primary,website links to how to register,No
2020-03-03,California,https://www.vote.org/absentee-ballot/california/,,CA,2020-10-19,Yes,https://www.vote.org/register-to-vote/california/,http://registertovote.ca.gov/,,,,State Primary and Presidential Primary,,No
2020-06-30,Colorado,https://www.vote.org/absentee-ballot/colorado/,2020-07-22,CO,2020-10-26,Yes,https://www.vote.org/register-to-vote/colorado/,https://www.sos.state.co.us/voter-classic/pages/pub/olvr/verifyNewVoter.xhtml,,,,State Primary,,No
2020-08-11,Connecticut,https://www.vote.org/absentee-ballot/connecticut/,,CT,2020-10-27,Yes,https://www.vote.org/register-to-vote/connecticut/,https://voterregistration.ct.gov/OLVR/,,,,State Primary and Presidential Primary,,Yes; Presidential Primary was originally scheduled for April 28
2020-07-07,Delaware,https://www.vote.org/absentee-ballot/delaware/,2020-06-13,DE,2020-10-03,Yes,https://www.vote.org/register-to-vote/delaware/,https://ivote.de.gov/voterview/registrant/newregistrant,,,https://ivote.de.gov/,Presidential Primary,State primary is Sept 15th,"Yes; originally scheduled for April 28, postponed to June 2 and then again to July 7."
2020-06-02,District of Columbia,https://www.vote.org/absentee-ballot/district-of-columbia/,,DC,2020-10-13,Yes,https://www.vote.org/register-to-vote/district-of-columbia/,https://www.vote4dc.com/ApplyInstructions/Register,,,,Presidential Primary,,No
2020-08-18,Florida,https://www.vote.org/absentee-ballot/florida/,2020-07-20,FL,2020-10-05,Yes,https://www.vote.org/register-to-vote/florida/,https://registertovoteflorida.gov/en/Registration/Index,,,,State Primary,,No
2020-06-09,Georgia,https://www.vote.org/absentee-ballot/georgia/,,GA,2020-10-05,Yes,https://www.vote.org/register-to-vote/georgia/,https://registertovote.sos.ga.gov/GAOLVR/#no-back-button,2,14,https://www.ballotready.org/ga,State Primary and Presidential Primary,,Yes; the Presidential Primary was originally scheduled for March 24 and the State Primary for May 19.
2020-08-08,Hawaii,https://www.vote.org/absentee-ballot/hawaii/,2020-07-09,HI,2020-10-05,Yes,https://www.vote.org/register-to-vote/hawaii/,https://olvr.hawaii.gov/,,,,State Primary,,No
2020-05-19,Idaho,https://www.vote.org/absentee-ballot/idaho/,,ID,2020-10-09,Yes,https://www.vote.org/register-to-vote/idaho/,https://www.vote.org/register-to-vote/idaho/,,,https://apps.idahovotes.gov/OnlineVoterRegistration/,State Primary,,No
2020-03-17,Illinois,https://www.vote.org/absentee-ballot/illinois/,,IL,2020-10-18,Yes,https://www.vote.org/register-to-vote/illinois/,https://ova.elections.il.gov/,,,,State Primary and Presidential Primary,,No
2020-06-02,Indiana,https://www.vote.org/absentee-ballot/indiana/,,IN,2020-10-05,Yes,https://www.vote.org/register-to-vote/indiana/,https://indianavoters.in.gov/,,,,State Primary and Presidential Primary,,Yes; both primaries were originally scheduled for May 5.
2020-06-02,Iowa,https://www.vote.org/absentee-ballot/iowa/,,IA,2020-10-24,Yes,https://www.vote.org/register-to-vote/iowa/,https://sos.iowa.gov/elections/voterinformation/voterregistration.html,,,,State Primary,,No
2020-08-04,Kansas,https://www.vote.org/absentee-ballot/kansas/,2020-07-14,KS,2020-10-13,Yes,https://www.vote.org/register-to-vote/kansas/,https://www.kdor.ks.gov/Apps/VoterReg/Default.aspx,,,,State Primary,,No
2020-06-23,Kentucky,https://www.vote.org/absentee-ballot/kentucky/,,KY,2020-10-05,Yes,https://www.vote.org/register-to-vote/kentucky/,https://vrsws.sos.ky.gov/ovrweb/,1,6,https://www.ballotready.org/ky,State Primary and Presidential Primary,,Yes; both primaries were originally scheduled for May 19.
2020-07-11,Louisiana,https://www.vote.org/absentee-ballot/louisiana/,2020-06-20,LA,2020-10-14,Yes,https://www.vote.org/register-to-vote/louisiana/,http://www.sos.la.gov/ElectionsAndVoting/Pages/OnlineVoterRegistration.aspx,,,,Presidential Primary,State primary Nov 3rd,Yes; originally scheduled for April 4.
2020-07-14,Maine,https://www.vote.org/absentee-ballot/maine/,2020-06-22,ME,2020-10-13,No,,https://www.maine.gov/sos/cec/elec/voter-info/voterguide.html,,,,State Primary,,Yes; originally scheduled for June 9.
